Name,lng,lat,Number of charging spots (快充;慢充)
依威能源充电站(紫薇苑西区),114.2360781280892,22.717284841111503,0;3
依威能源充电站(金水湾),114.25237904913571,22.59409557860705,0;5
依威能源充电站(龙福一村),114.2412451088605,22.72782277802585,0;3
依威能源充电站(君荟名庭),114.11761380363092,22.553337843997824,0;3
依威能源充电站(园心苑),114.06897432872744,22.55187741064392,0;3
依威能源充电站(御景台),113.90727119781847,22.562805956002105,0;3
依威能源充电站(御府名筑),114.24416588201083,22.731450569629494,0;6
依威能源充电站(上善居),113.80127332118813,22.75044435732255,0;3
依威能源充电站(玉雅居),114.18054871741596,22.55878421619851,0;6
依威能源充电站(嘉欣园),114.2115542181077,22.71322512384512,0;6
依威能源充电站(碧岭华庭),114.12129152543278,22.581123413922665,0;4
依威能源充电站(翠景山庄),114.12281961224359,22.580952114057244,0;3
依威能源充电站(丹翠欣苑),114.13581666366986,22.628215946113077,0;6
依威能源充电站(金阳成大厦),114.28156801841227,22.738345444794472,0;3
依威能源充电站(顺道行汽车永香店),114.06028623185965,22.623969237640296,0;1
依威能源充电站(岁宝百货),114.23277079541036,22.71380079234045,0;2
依威能源充电站(湛宝大厦),114.19010342842402,22.646091852847658,0;10
依威能源充电站(中港城),114.04821571690616,22.519260665006033,0;3
依威能源充电站(启迪科技园),114.14183170952624,22.61068316076605,0;2
依威能源充电站(龙岗世贸中心),114.2405851149656,22.71952961086443,0;2
依威能源充电站(顺道行汽车工业店),114.02072252224633,22.646484318652757,0;1
依威能源充电站(布吉慢城三期),114.12249518988229,22.627728904851327,0;5
依威能源充电站(金海雅居),114.27109038940121,22.589564930848173,0;3
依威能源充电站(龙塘村),114.01191967684265,22.633175169441976,0;8
依威能源充电站(洪湖东岸),114.11832350739044,22.57156538171463,0;5
威能源充电站(横岗大厦一期),114.20330043770946,22.650082863693076,0;4
依威能源充电站(卓越城),114.05502756689786,22.574796720692564,1;5
依威能源充电站(徽王府),114.22369941885056,22.730331505062225,0;6
依威能源充电站(满园),114.22600510027719,22.724430779007175,0;3
依威能源充电站(满庭芳),114.13571533145344,22.69795369254141,0;3
依威能源充电站(太白居),114.13351610237004,22.58318840976265,0;2
依威能源充电站(雅仕居),114.10913914297983,22.57653972930003,0;4
依威能源充电站(赤尾村),114.07988404092156,22.53269808892551,0;3
依威能源充电站(梅林居),114.05328431133378,22.56910423951892,0;3
依威能源充电站(嘉意台),114.05960923435353,22.5234552428938,0;3
依威能源充电站(得宝楼),113.85695411156493,22.603116714460377,0;3
依威能源充电站(悦心园),114.183290066283,22.654366979256952,0;2
依威能源充电站(桐馨园),114.19005167752644,22.55715829923365,0;3
依威能源充电站(银海苑),114.05988684095426,22.57414123092945,0;2
依威能源充电站(福昌苑),114.03818613620983,22.52797517935612,0;3
依威能源充电站(欧景城),114.23261596678897,22.726798534304592,0;5
依威能源充电站(松泉阁),114.12098692062573,22.580162562322645,0;3
依威能源充电站(龙园苑),114.13226733864691,22.544882074207774,0;3
依威能源充电站(美思苑),114.1275646703657,22.569341194833356,0;3
依威能源充电站(华丽园),114.12414969985245,22.562296944898822,0;3
依威能源充电站(华清园),114.1470558622579,22.55641196404335,0;3
依威能源充电站(民宁园),114.06197322353134,22.563734561942994,0;3
依威能源充电站(彩虹居),113.92794531978514,22.552092894154573,0;3
依威能源充电站(深华园),113.91366371393194,22.52036622354543,0;3
依威能源充电站(万骏汇),113.87104077930573,22.58641017338669,0;6
依威能源充电站(余岭山庄),114.23628096268689,22.712541257501776,0;3
依威能源充电站(创兆广场),114.23154398666931,22.70244622355092,0;3
依威能源充电站(清湖花半里),114.0427364876098,22.675086638494516,0;7
依威能源充电站(同胜商住楼),113.99037177604777,22.672373912169043,0;3
依威能源充电站(新马商贸城),114.19806902331257,22.646126292995042,0;3
依威能源充电站(大世纪花园),114.12189021826822,22.613205814435865,0;3
依威能源充电站(鸿润豪苑),114.14757153832467,22.605979573614118,0;3
依威能源充电站(龙珠花园C区),114.12189369520615,22.605682818925125,0;6
依威能源充电站(柏丽花园),114.12137398413385,22.565227206372388,0;3
依威能源充电站(新秀村南区),114.13874532874438,22.54884778115838,0;3
依威能源充电站(广深大厦),114.12141268937167,22.546400354023408,0;1
依威能源充电站(金碧苑32栋),114.08490979233414,22.57364123323395,0;3
依威能源充电站(南天二花园),114.0878698143173,22.554003711636483,0;3
依威能源充电站(金景花园),114.08813181941126,22.571097818152314,0;3
依威能源充电站(世贸广场),114.07843931282144,22.541893631365404,0;3
万马爱充充电站(鹏程花园),113.80338980944862,22.763120985780695,10;0
万马爱充充电站(深圳沙井靓车屋),113.82953601832193,22.717424578223056,20;10
万马爱充充电站(深圳金龙华),114.0119429218288,22.66489916497446,10;7
万马爱充充电站(凤凰星苑),114.13717189837112,22.6995379092194,7;0
特来电充电站(伯尼大厦),113.8821624221281,22.771603253123274,6;0
特来电充电站(龙华人人乐),114.02637451254341,22.654699737236726,4;31
特来电充电站(深圳海科兴产业园一期),114.32102510606846,22.692731660650562,11;0
特来电充电站(深圳横岗时尚e城),114.20644050137165,22.669084772947,9;0
特来电充电站(松岗义乌商业城),113.85399500017492,22.76871065992535,15;0
特来电充电站(深圳湾体育中心),113.94534231955629,22.523503976501665,10;37
特来电充电站(深圳公园一号广场),113.92067831281943,22.51791573071305,4;28
特来电充电站(同安物流园),113.84158281709101,22.61308851629912,6;0
特来电充电站(七巧国),113.851575311057,22.57132582867571,4;11
特来电充电站(集浩大厦),114.13084755460176,22.549340765346766,2;11
特来电汽车充电站(京基晶都酒店),114.10039136267437,22.54181247107265,6;3
特来电充电站(深圳长丰花园酒店),113.91638820538432,22.67542251614283,9;9
特来电充电站(深圳炜东城百货),113.90084482593946,22.72925120323089,12;0
特来电充电站(深圳信挚工业一期),114.07590019886172,22.62575210830371,6;0
特来电充电站(深圳银星智界一期),114.04096320282385,22.725103262711134,9;0
特来电充电站(天发大厦),114.02681508519768,22.533104114404885,2;19
特来电充电站(坂田商业广场),114.05777394743882,22.63586905149838,0;12
特来电充电站(深圳梵思诺),113.9861471557141,22.698443824189035,6;0
特来电充电站(星河中心大厦),114.05644840804865,22.53706130182726,2;19
特来电充电站(星都豪庭),114.1332200498019,22.614915083037623,0;33
特来电充电站(深圳联泰大厦),114.00681908641742,22.537792699346866,0;7
特来电充电站(中华美食广场),113.78364037113742,22.737631127991566,8;12
特来电充电站(豪方现代豪园),113.93024793844167,22.54860712327117,21;26
特来电充电站(祥昭大厦),113.99920521699022,22.638017566746946,3;25
特来电充电站(百丽大厦),113.93413141734754,22.509696889625417,0;9
特来电充电站(深圳陶润懿峰),114.0430606795943,22.689656175494594,0;12
特来电充电站(山海名苑),114.4833962663725,22.545689872369845,0;6
特来电充电站(广弘中心一期),114.11403184678618,22.684631389510965,12;0
特来电充电站(南沙兴苑),114.47674226937676,22.553419518502082,0;6
特来电充电站(深圳裕兴科技园),113.83180734406866,22.599493885942515,6;0
特来电充电站(朗山酒店),113.94639470678005,22.559892568340334,7;9
特来电充电站(深圳来福士广场),113.92070687406921,22.514701666289554,0;28
特来电充电站(崇文花园),113.98612365892424,22.591738632163487,4;53
特来电充电站(新沙荟名庭二期),113.81075515964996,22.736209670602953,3;37
特来电充电站(同富村工业园),113.99342372169156,22.701381279331226,6;0
特来电充电站(深业U中心),113.85924484038415,22.627833053027434,9;28
特来电充电站(宜城风景),114.30055126197854,22.76931264144469,0;37
特来电充电站(万象新天一期),113.8428660597596,22.605116086506683,6;0
特来电充电站(深圳育龙庭),114.24849988587549,22.731586053819896,0;10
特来电充电站(百丽春大厦),113.81888633656311,22.694850650898655,0;12
特来电充电站(银星工业园二期),114.042199317198,22.732349732990528,9;0
特来电充电站(星航华府),113.82969649449643,22.644959718988343,0;24
特来电充电站(深圳宝创),113.93430143257113,22.543635369722693,2;2
特来电充电站(玉律南海百货),113.89502666773141,22.720631253725113,3;12
特来电充电站(银星工业园),114.04214847425528,22.732304286160222,0;37
特来电充电站(深圳创丰宝),114.23934265414978,22.735674536720197,2;8
特来电充电站(博达大厦),113.98338800595913,22.553914826663075,2;8
特来电充电站(深圳麟恒中心广场),114.1803667976198,22.639039890140886,0;44
特来电充电站(华盛盛荟名庭),113.88841326817875,22.57651380115862,1;21
特来电充电站(中骏四季阳光),114.29779039385947,22.7248991606029,0;45
特来电充电站(李朗珠宝产业园),114.11989777276438,22.644588540422273,25;34
特来电充电站(金沙摩尔),114.19976233523823,22.6502186360522,4;30
特来电充电站(深圳华润万家一期),113.82333956365174,22.731216905535756,6;0
特来电充电站(万科九龙山),114.0154686223524,22.71521188799285,0;18
特来电充电站(金山大厦),114.104150907882,22.543321352688316,0;8
特来电充电站(深圳形色城),113.82475165985359,22.72503083862457,0;9
特来电充电站(曦湾华府),113.93624598212466,22.50417809130103,0;9
特来电充电站(深圳香林华府),114.27363499903899,22.76583776726278,0;30
特来电充电站(贤达会展中心),114.20342497599283,22.66084928159231,0;12
特来电充电站(金骐智谷),113.98810454963849,22.591497336134108,4;24
特来电充电站(侨城坊),113.97502737286848,22.554253069830093,0;12
特来电充电站(朗科大厦),113.94824136259251,22.53886659069073,0;10
特来电充电站(熙璟城),114.1307635227724,22.685384224572893,0;45
特来电充电站(深圳豪方天际),113.91598263892324,22.55896345709202,0;39
特来电充电站(悠然居),113.91602167312952,22.503127836832277,0;6
