Name,lng,lat,Number of charging spots (快充;慢充)
威能源充电站(横岗大厦一期),114.2081899361019,22.64726250382614,0;4
依威能源充电站(卓越城),114.06014596899773,22.572085916651112,1;5
依威能源充电站(徽王府),114.22855651458867,22.72750813380869,0;6
依威能源充电站(满园),114.23085850844164,22.72160402111245,0;3
依威能源充电站(满庭芳),114.14078048572975,22.695261950982683,0;3
依威能源充电站(太白居),114.13857887240012,22.58047848356199,0;2
依威能源充电站(雅仕居),114.11424735005636,22.573855719439194,0;4
依威能源充电站(赤尾村),114.08501216151097,22.530012283820344,0;3
依威能源充电站(梅林居),114.05840040567851,22.566389874458697,0;3
依威能源充电站(嘉意台),114.06472874128947,22.520747941880323,0;3
依威能源充电站(得宝楼),113.86188462348667,22.600100882220477,0;3
依威能源充电站(悦心园),114.18822789234764,22.651579830499855,0;2
依威能源充电站(桐馨园),114.19496613877696,22.554345320478593,0;3
依威能源充电站(银海苑),114.06500989287484,22.571437999777434,0;2
依威能源充电站(福昌苑),114.04327760182473,22.525227230126866,0;3
依威能源充电站(欧景城),114.23746118391573,22.723968582252926,0;5
依威能源充电站(松泉阁),114.12607563891468,22.57746841323951,0;3
依威能源充电站(龙园苑),114.13733044510577,22.542170428111792,0;3
依威能源充电站(美思苑),114.13263956411389,22.566638002562208,0;3
依威能源充电站(华丽园),114.12923112683781,22.559597354469428,0;3
依威能源充电站(华清园),114.15208404283726,22.55367757924601,0;3
依威能源充电站(民宁园),114.0670972851962,22.56103328213744,0;3
依威能源充电站(彩虹居),113.93281192825566,22.549061374857164,0;3
依威能源充电站(深华园),113.91852215864566,22.517317745892008,0;3
依威能源充电站(万骏汇),113.87594162668371,22.5833745553906,0;6
依威能源充电站(余岭山庄),114.24112140604619,22.70970591799285,0;3
依威能源充电站(创兆广场),114.23638888939165,22.699610197427937,0;3
依威能源充电站(清湖花半里),114.04784509248438,22.67236922727219,0;7
依威能源充电站(同胜商住楼),113.99536289778864,22.669511352672576,0;3
依威能源充电站(新马商贸城),114.20296995916088,22.643312826668076,0;3
依威能源充电站(大世纪花园),114.12697936606882,22.61051508649,0;3
依威能源充电站(鸿润豪苑),114.1526015928803,22.603249946236748,0;3
依威能源充电站(龙珠花园C区),114.12698234745399,22.602990958756845,0;6
依威能源充电站(柏丽花园),114.12646100095323,22.562531087396973,0;3
依威能源充电站(新秀村南区),114.14379366082316,22.546126639677073,0;3
依威能源充电站(广深大厦),114.12649841166883,22.543702660241912,0;1
依威能源充电站(金碧苑32栋),114.09003952262991,22.570960996082718,0;3
依威能源充电站(南天二花园),114.09299706989393,22.551322537862827,0;3
依威能源充电站(金景花园),114.09326006416642,22.568418244700766,0;3
依威能源充电站(世贸广场),114.08356811219069,22.539207457146457,0;3
万马爱充充电站(鹏程花园),113.80846867225173,22.7602378504126,10;0
万马爱充充电站(深圳沙井靓车屋),113.8345427115367,22.714479529929015,20;10
万马爱充充电站(深圳金龙华),114.0169876602987,22.662099870034233,10;7
万马爱充充电站(凤凰星苑),114.14223373663138,22.696844338922944,7;0
特来电充电站(伯尼大厦),113.88705738298528,22.768600780121982,6;0
特来电充电站(龙华人人乐),114.03145141054299,22.651938592624855,4;31
特来电充电站(深圳海科兴产业园一期),114.3259108924426,22.689980519660462,11;0
特来电充电站(深圳横岗时尚e城),114.21132455742767,22.666264131994208,9;0
特来电充电站(松岗义乌商业城),113.85894282397655,22.765738465726766,15;0
特来电充电站(深圳湾体育中心),113.95022706583767,22.520501002527993,10;37
特来电充电站(深圳公园一号广场),113.92553842186703,22.514873512767565,4;28
特来电充电站(同安物流园),113.84655112110629,22.61009901571841,6;0
特来电充电站(七巧国),113.85651622617267,22.568314286781096,4;11
特来电充电站(集浩大厦),114.13591409709412,22.54663143375091,2;11
特来电汽车充电站(京基晶都酒店),114.10550821116378,22.539129827344144,6;3
特来电充电站(深圳长丰花园酒店),113.92125688780794,22.672396973408084,9;9
特来电充电站(深圳炜东城百货),113.90571927612439,22.72623143720669,12;0
特来电充电站(深圳信挚工业一期),114.08103437131761,22.623073976671847,6;0
特来电充电站(深圳银星智界一期),114.04607222927413,22.72239477334123,9;0
特来电充电站(天发大厦),114.03188500391413,22.530328353946206,2;19
特来电充电站(坂田商业广场),114.06289912188132,22.633171526658277,0;12
特来电充电站(深圳梵思诺),113.99112930378311,22.695574741526524,6;0
特来电充电站(星河中心大厦),114.0615658296555,22.53434975498762,2;19
特来电充电站(星都豪庭),114.1382855461252,22.612209931031735,0;33
特来电充电站(深圳联泰大厦),114.0118430581131,22.534960609444383,0;7
特来电充电站(中华美食广场),113.78876313079677,22.734770868328937,8;12
特来电充电站(豪方现代豪园),113.93511621098638,22.54557863385665,21;26
特来电充电站(祥昭大厦),114.00421655385374,22.635174802231536,3;25
特来电充电站(百丽大厦),113.93900094660668,22.506672666097074,0;9
特来电充电站(深圳陶润懿峰),114.04817074668163,22.68694289937848,0;12
特来电充电站(山海名苑),114.48814382360227,22.542861702511285,0;6
特来电充电站(广弘中心一期),114.11913960469812,22.68196257559581,12;0
特来电充电站(南沙兴苑),114.48151341347103,22.55061129076204,0;6
特来电充电站(深圳裕兴科技园),113.8368004020314,22.59652014802045,6;0
特来电充电站(朗山酒店),113.95128336826836,22.556894068792474,7;9
特来电充电站(深圳来福士广场),113.92556679251523,22.511659386320776,0;28
特来电充电站(崇文花园),113.99109887455649,22.588848945622335,4;53
特来电充电站(新沙荟名庭二期),113.81581332155774,22.733305151208867,3;37
特来电充电站(同富村工业园),113.99842446670853,22.69853498304385,6;0
特来电充电站(深业U中心),113.86417185949811,22.62481784443939,9;28
特来电充电站(宜城风景),114.30541270233806,22.766545833390232,0;37
特来电充电站(万象新天一期),113.84783057970903,22.60212315639778,6;0
特来电充电站(深圳育龙庭),114.25333266483541,22.72875482107132,0;10
特来电充电站(百丽春大厦),113.82392022699314,22.69191978773256,0;12
特来电充电站(银星工业园二期),114.04731082019967,22.7296460067608,9;0
特来电充电站(星航华府),113.83469810613623,22.641997425078227,0;24
特来电充电站(深圳宝创),113.93917328637741,22.54061286926818,2;2
特来电充电站(玉律南海百货),113.8999044154306,22.71760882625028,3;12
特来电充电站(银星工业园),114.04725989306787,22.729600436943453,0;37
特来电充电站(深圳创丰宝),114.24418176111232,22.732844854912134,2;8
特来电充电站(博达大厦),113.98835397006964,22.55101303372764,2;8
特来电充电站(深圳麟恒中心广场),114.18531127669283,22.636255023535888,0;44
特来电充电站(华盛盛荟名庭),113.89328814900371,22.573464730125707,1;21
特来电充电站(中骏四季阳光),114.30264552610151,22.722114232186936,0;45
特来电充电站(李朗珠宝产业园),114.1249927123126,22.641905447467515,25;34
特来电充电站(金沙摩尔),114.20465966940333,22.647403421085375,4;30
特来电充电站(深圳华润万家一期),113.82836381733951,22.728287397810178,6;0
特来电充电站(万科九龙山),114.02052504192031,22.712435100275947,0;18
特来电充电站(金山大厦),114.10926357483221,22.540637318301023,0;8
特来电充电站(深圳形色城),113.8297717101251,22.722096905967675,0;9
特来电充电站(曦湾华府),113.9411174647825,22.501157332303865,0;9
特来电充电站(深圳香林华府),114.27847092670542,22.763031941471507,0;30
特来电充电站(贤达会展中心),114.20831489100458,22.658030959549954,0;12
特来电充电站(金骐智谷),113.99308472915646,22.588613590993038,4;24
特来电充电站(侨城坊),113.9799730663397,22.551326773137767,0;12
特来电充电站(朗科大厦),113.953131610587,22.535870520460424,0;10
特来电充电站(熙璟城),114.1358390742143,22.682696584304622,0;45
特来电充电站(深圳豪方天际),113.92084386080757,22.555919132848583,0;39
特来电充电站(悠然居),113.9208793793796,22.500080853756437,0;6
